timestamp,value,seasonal,trend,resid,thr1,thr2
0.0,0.01,-0.125,0.11,0.024999999999999994,-0.26164958918958564,0.22707110992114019
1.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
2.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
3.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
4.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
5.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
6.0,0.0,-0.13,0.11,0.020000000000000004,-0.26164958918958564,0.22707110992114019
7.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
8.0,0.0,-0.13,0.11,0.020000000000000004,-0.26164958918958564,0.22707110992114019
9.0,0.0,-0.13624999999999998,0.11,0.02624999999999998,-0.26164958918958564,0.22707110992114019
10.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
11.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
12.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
13.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
14.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
15.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
16.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
17.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
18.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
19.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
20.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
21.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
22.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
23.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
24.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
25.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
26.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
27.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
28.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
29.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
30.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
31.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
32.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
33.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
34.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
35.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
36.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
37.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
38.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
39.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
40.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
41.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
42.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
43.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
44.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
45.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
46.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
47.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
48.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
49.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
50.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
51.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
52.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
53.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
54.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
55.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
56.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
57.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
58.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
59.0,0.0,-0.14,0.11,0.030000000000000013,-0.26164958918958564,0.22707110992114019
60.0,0.0,-0.13,0.11,0.020000000000000004,-0.26164958918958564,0.22707110992114019
61.0,0.01,-0.13,0.11,0.03,-0.26164958918958564,0.22707110992114019
